Respondent_ID,Survey_Date,Q1_Age_Group,Q2_Gender,Q3_City,City_Tier,Q4_Income_Band,Q5_Education,Q6_Occupation,Q7_Marital_Status,Q8_Skin_Type,Q9_Skin_Concerns,Q10_Skin_Tone,Q11_Medical_Conditions,Q12_Past_Skin_Failure,Q13_Outdoor_Hrs,Q14_AC_Exposure,Q15_Stress_Level,Q16_Sleep_Hours,Q17_Exercise_Freq,Q18_Food_Type,Q19_Spice_Level,Q20a_Confidence,Q20b_Trendsetter,Q20c_BrandLoyal,Q20d_HealthInvest,Q20e_ChemWorry,Q21_Shopping_Personality,Q22_Trust_Source,Q23_Ingredient_Literacy,Q24_Eco_Importance,Q25_Daily_Products,Q26_Products_Used,Q27_Formulation_Pref,Q28_Traditional_Wear,Q29_Saree_Colors,Q30_Current_Spend,Q31_WTP_Band,Q31_WTP_INR,Q32_Purchase_Channel,Q33_AI_Comfort,Q34_Existing_Subs,Q35_Discovery_Channels,Q36_Satisfaction,Q37_Intent,Q37_Intent_Binary,Age_Numeric,Income_Numeric,Psychographic_Score,Wellness_Index,Engagement_Score
RESP2131,2024-04-14,29-35,Male,Kolkata,Tier-1,40K-75K,Postgraduate,Salaried-Private,Single,Sensitive,Dryness/Flakiness|Dark Circles/Puffy Eyes,Fair,Chronic Acne (Diagnosed),Yes-Once or Twice,<1 hr,4-7 hrs,2.7,5-6 hrs,Daily,Non-Veg Occasional,2.8,2.9,2.7,2.8,3.8,2.9,Loyal Buyer,Close Friend/Family,Know a few key ingredients,2.7,5-7 Products,Hyaluronic Acid/Hydration|Moisturiser/Day Cream|Face Wash/Cleanser|Sunscreen/SPF,Mix of Both,Rarely/Never,Dont Wear Ethnic,Rs1201-2500,300-599,450.0,Amazon/Flipkart,2.8,No-Open to It,Online Search/Blogs,2.7,Undecided,Not Interested,32,57000,3.13,3.1,3.1
RESP2132,2024-06-01,18-22,Male,Mumbai,Tier-1,75K-1.2L,Postgraduate,Salaried-Private,Married-With Children,Sensitive,Dark Spots/Pigmentation|Redness/Irritation,Dusky/Olive,None,No-Avoid New Products,1-2 hrs,4-7 hrs,2.4,7-8 hrs,Never,Vegan,3.8,2.9,4.1,2.7,3.7,1.0,Social Follower,Social Media Influencer,Know a few key ingredients,3.6,1-2 Products,Hyaluronic Acid/Hydration|Under-eye Cream|Sunscreen/SPF|Vitamin C Serum|Face Wash/Cleanser|Moisturiser/Day Cream,No Preference,Festivals/Occasions Only,Dont Wear Ethnic,Rs701-1200,600-999,800.0,Nykaa/Purplle/Tira|Amazon/Flipkart,3.8,Yes-Multiple Subs,Instagram/Reels|YouTube Reviews|Dermatologist/Doctor,3.3,Probably Yes - Trial First,Interested,20,97000,3.57,2.53,3.6
RESP2133,2024-01-19,23-28,Female,Mumbai,Tier-1,20K-40K,Undergraduate,Self-Employed/Business,Married-No Children,Oily,No Concern-Maintenance,Wheatish/Medium,Diabetes,Yes-Once or Twice,1-2 hrs,Rarely/Never,2.8,>8 hrs,1-2x/week,Purely Vegetarian,2.6,3.8,3.7,1.8,3.6,2.6,Social Follower,Dermatologist/Skin Specialist,Understand most ingredients,4.1,3-4 Products,Niacinamide Serum|Toner/Mist|Sunscreen/SPF|Moisturiser/Day Cream|Face Wash/Cleanser,Mix of Both,Few Times/Week,Pastels/Muted,Rs1-300,Lt300,150.0,Amazon/Flipkart,2.0,Yes-Multiple Subs,Dermatologist/Doctor,1.8,Probably Yes - Trial First,Interested,25,30000,3.7,3.07,2.47
RESP2134,2024-11-27,29-35,Female,Rural/Small Town,Tier-3,40K-75K,Postgraduate,Salaried-Government,Married-With Children,Normal,Acne/Pimples|Dark Circles/Puffy Eyes|No Concern-Maintenance,Very Dark,PCOS/PCOD|Diabetes,Yes-Multiple Times,1-2 hrs,4-7 hrs,2.4,7-8 hrs,1-2x/week,Non-Veg Regular,3.0,3.8,2.7,4.1,3.5,3.5,Loyal Buyer,Self Research Only,Understand most ingredients,2.6,5-7 Products,Ayurvedic/Herbal Products|Sunscreen/SPF|Moisturiser/Day Cream|Face Wash/Cleanser,Natural/Ayurvedic Only,Few Times/Week,Black/Charcoal|Pastels/Muted,Rs1-300,Lt300,150.0,Local Pharmacy|Beauty Salon/Spa,3.0,Yes-One Sub,Instagram/Reels,3.0,Probably Yes - Trial First,Interested,32,57000,3.33,2.87,3.17
RESP2135,2024-02-24,18-22,Male,Chennai,Tier-1,75K-1.2L,Postgraduate,Student,Divorced/Separated/Widowed,Oily,Acne/Pimples|Oiliness/Enlarged Pores|Sun Damage/Tanning,Very Dark,None,No-Lucky So Far,<1 hr,4-7 hrs,2.3,5-6 hrs,Daily,Purely Vegetarian,3.9,3.9,2.8,3.0,4.5,3.4,Deal Seeker,Close Friend/Family,Expert - research every ingredient,5.0,1-2 Products,Face Wash/Cleanser|Under-eye Cream|Vitamin C Serum|Sunscreen/SPF|Moisturiser/Day Cream|Niacinamide Serum|Toner/Mist|Ayurvedic/Herbal Products,Natural/Ayurvedic Only,Few Times/Week,Dont Wear Ethnic,Rs1201-2500,1500-2499,2000.0,Nykaa/Purplle/Tira|Amazon/Flipkart|Social Commerce,1.5,No-Open to It,Instagram/Reels|YouTube Reviews|Online Search/Blogs,2.4,Definitely Yes,Interested,20,97000,3.73,3.23,2.8
RESP2136,2024-08-23,36-45,Male,Ahmedabad,Tier-2,Above 1.2L,Postgraduate,Salaried-Private,Divorced/Separated/Widowed,Oily,No Concern-Maintenance,Wheatish/Medium,Known Skin Allergies,Yes-Once or Twice,<1 hr,Rarely/Never,1.6,7-8 hrs,1-2x/week,Non-Veg Regular,4.8,3.7,1.0,3.3,2.9,2.8,Deal Seeker,Self Research Only,Know a few key ingredients,4.4,5-7 Products,Under-eye Cream|Vitamin C Serum|Face Wash/Cleanser|Sunscreen/SPF|Toner/Mist|Collagen/Biotin Supplements|Retinol/Anti-aging Serum|Moisturiser/Day Cream,Mix of Both,Festivals/Occasions Only,Dont Wear Ethnic,Rs1-300,2500plus,3000.0,Amazon/Flipkart|Supermarket,3.3,No-Prefer One-time,Instagram/Reels|Friends/Family|Dermatologist/Doctor|Influencer Reco|Ads (App/TV),2.7,Definitely Yes,Interested,40,150000,2.53,3.13,2.97
RESP2137,2024-06-27,29-35,Male,Mumbai,Tier-1,75K-1.2L,Undergraduate,Freelancer/Gig,Single,Oily,Oiliness/Enlarged Pores,Dusky/Olive,Diabetes,No-Avoid New Products,<1 hr,1-3 hrs,3.2,<5 hrs,3-4x/week,Non-Veg Occasional,3.7,2.2,4.0,2.5,3.5,2.7,Social Follower,Close Friend/Family,Read but understand little,3.3,5-7 Products,Sunscreen/SPF|Niacinamide Serum|Face Wash/Cleanser|Toner/Mist|Moisturiser/Day Cream|Under-eye Cream|Vitamin C Serum,Natural/Ayurvedic Only,Few Times/Week,Dont Wear Ethnic,Rs701-1200,2500plus,3000.0,Local Pharmacy,4.7,No-Open to It,YouTube Reviews,2.3,Definitely Yes,Interested,32,97000,3.23,2.27,3.5
RESP2138,2024-12-11,29-35,Female,Lucknow,Tier-2,75K-1.2L,Undergraduate,Self-Employed/Business,Married-With Children,Oily,Acne/Pimples|Oiliness/Enlarged Pores,Dusky/Olive,None,Yes-Once or Twice,1-2 hrs,4-7 hrs,2.6,7-8 hrs,3-4x/week,Non-Veg Regular,3.3,2.7,2.5,1.7,4.5,1.0,Reluctant Buyer,Social Media Influencer,Know a few key ingredients,2.9,1-2 Products,Vitamin C Serum|Toner/Mist|Sunscreen/SPF|Ayurvedic/Herbal Products|Under-eye Cream|Face Wash/Cleanser|Moisturiser/Day Cream|Niacinamide Serum,Science-backed/Clinical,Rarely/Never,Green/Teal,Rs301-700,1000-1499,1250.0,Local Pharmacy,1.0,No-Open to It,Ads (App/TV),2.4,Undecided,Not Interested,32,97000,3.23,3.13,2.63
RESP2139,2024-10-21,29-35,Female,Other Tier-2,Tier-2,20K-40K,Postgraduate,Retired,Single,Normal,No Concern-Maintenance,Dusky/Olive,Eczema/Psoriasis,Yes-Multiple Times,>5 hrs,Rarely/Never,4.0,5-6 hrs,Daily,Non-Veg Regular,2.7,4.2,2.4,2.7,3.0,3.1,Social Follower,Close Friend/Family,Understand most ingredients,2.6,3-4 Products,Moisturiser/Day Cream|Face Wash/Cleanser|Sunscreen/SPF|Ayurvedic/Herbal Products,Natural/Ayurvedic Only,Festivals/Occasions Only,White/Cream|Green/Teal,Rs1-300,600-999,800.0,Amazon/Flipkart|Supermarket,2.2,No-Open to It,Instagram/Reels,3.9,Undecided,Not Interested,32,30000,3.2,2.67,3.03
RESP2140,2024-06-07,36-45,Female,Ahmedabad,Tier-2,Prefer Not to Say,Undergraduate,Self-Employed/Business,Divorced/Separated/Widowed,Combination,Dryness/Flakiness|Dark Circles/Puffy Eyes,Dusky/Olive,PCOS/PCOD|Chronic Acne (Diagnosed),No-Avoid New Products,1-2 hrs,>7 hrs,1.8,5-6 hrs,3-4x/week,Purely Vegetarian,2.3,1.6,2.3,2.9,3.0,2.7,Deal Seeker,Dermatologist/Skin Specialist,Read but understand little,4.6,3-4 Products,Face Wash/Cleanser|Moisturiser/Day Cream|Niacinamide Serum|Ayurvedic/Herbal Products|Sunscreen/SPF|Toner/Mist,No Preference,Festivals/Occasions Only,Black/Charcoal,Rs1-300,Lt300,150.0,Amazon/Flipkart|Brand Website D2C|Local Pharmacy|Dont Buy Skincare,3.7,No-Open to It,Instagram/Reels|YouTube Reviews|Friends/Family|Ads (App/TV),1.8,Probably Yes - Trial First,Interested,40,45000,2.3,3.07,2.83
RESP2141,2024-07-18,23-28,Male,Delhi/Ncr,Tier-1,20K-40K,Undergraduate,Freelancer/Gig,Single,Sensitive,Dryness/Flakiness,Very Dark,Diabetes|PCOS/PCOD,Yes-Once or Twice,1-2 hrs,Rarely/Never,2.6,7-8 hrs,1-2x/week,Purely Vegetarian,4.2,3.7,3.3,3.5,4.2,3.2,Early Adopter,Dermatologist/Skin Specialist,Read but understand little,3.3,3-4 Products,Ayurvedic/Herbal Products|Moisturiser/Day Cream|Sheet Mask/Clay Mask|Sunscreen/SPF|Face Wash/Cleanser|Hyaluronic Acid/Hydration,Science-backed/Clinical,Festivals/Occasions Only,Dont Wear Ethnic,Rs301-700,300-599,450.0,Nykaa/Purplle/Tira|Local Pharmacy|Supermarket|Beauty Salon/Spa,5.0,Yes-One Sub,Instagram/Reels|Friends/Family|Dermatologist/Doctor,3.2,Definitely Yes,Interested,25,30000,3.73,2.8,4.13
RESP2142,2024-06-11,29-35,Female,Ahmedabad,Tier-2,75K-1.2L,Doctoral/Professional,Salaried-Private,Married-No Children,Combination,Acne/Pimples|Dullness/Uneven Tone|Sun Damage/Tanning,Dusky/Olive,None,Yes-Once or Twice,1-2 hrs,Rarely/Never,4.7,7-8 hrs,1-2x/week,Non-Veg Occasional,3.1,3.3,1.7,2.9,2.5,3.5,Deal Seeker,Dermatologist/Skin Specialist,Understand most ingredients,1.8,3-4 Products,Moisturiser/Day Cream|Sunscreen/SPF|Vitamin C Serum|Niacinamide Serum|Toner/Mist|Face Wash/Cleanser|Under-eye Cream,Natural/Ayurvedic Only,Rarely/Never,Yellow/Gold|Pastels/Muted|Black/Charcoal,Rs701-1200,1500-2499,2000.0,Amazon/Flipkart,3.5,No-Prefer One-time,Instagram/Reels|Online Search/Blogs|Ads (App/TV),2.0,Definitely Yes,Interested,32,97000,2.5,2.1,2.67
RESP2143,2024-11-20,29-35,Female,Indore,Tier-2,20K-40K,Postgraduate,Self-Employed/Business,Single,Dry,No Concern-Maintenance,Dusky/Olive,PCOS/PCOD,Yes-Once or Twice,3-5 hrs,Rarely/Never,2.3,7-8 hrs,Never,Non-Veg Occasional,4.2,4.2,1.8,2.6,4.1,4.2,Loyal Buyer,Close Friend/Family,Understand most ingredients,1.6,None,Moisturiser/Day Cream|Hyaluronic Acid/Hydration|Sunscreen/SPF|Sheet Mask/Clay Mask|Face Wash/Cleanser|Night Cream/Overnight Mask,No Preference,Festivals/Occasions Only,Purple/Violet|Red/Maroon|Yellow/Gold,Rs301-700,300-599,450.0,Local Pharmacy,2.2,Yes-One Sub,Instagram/Reels|YouTube Reviews,4.0,Probably Yes - Trial First,Interested,32,30000,3.37,2.57,3.43
RESP2144,2024-05-03,23-28,Female,Chennai,Tier-1,Above 1.2L,Postgraduate,Student,Single,Combination,Oiliness/Enlarged Pores|Fine Lines/Aging,Dark,Rosacea,No-Lucky So Far,<1 hr,4-7 hrs,2.9,7-8 hrs,3-4x/week,Purely Vegetarian,2.9,3.8,2.7,1.8,3.2,2.0,Loyal Buyer,Social Media Influencer,Read but understand little,3.2,5-7 Products,Sunscreen/SPF|Ayurvedic/Herbal Products|Niacinamide Serum|Toner/Mist|Vitamin C Serum|Collagen/Biotin Supplements|Under-eye Cream|Moisturiser/Day Cream,Mix of Both,Festivals/Occasions Only,Black/Charcoal|Green/Teal|White/Cream,Above Rs2500,2500plus,3000.0,Nykaa/Purplle/Tira|Amazon/Flipkart,2.8,Yes-One Sub,Friends/Family|Dermatologist/Doctor|Online Search/Blogs|Ads (App/TV),3.2,Probably Yes - Trial First,Interested,25,150000,3.23,3.03,3.07
RESP2145,2024-10-09,36-45,Female,Patna,Tier-2,75K-1.2L,Undergraduate,Self-Employed/Business,Married-With Children,Sensitive,No Concern-Maintenance,Dusky/Olive,Eczema/Psoriasis,Yes-Once or Twice,1-2 hrs,4-7 hrs,2.0,5-6 hrs,Never,Purely Vegetarian,2.6,2.8,2.2,3.2,3.9,1.7,Social Follower,Dermatologist/Skin Specialist,Understand most ingredients,3.2,1-2 Products,Hyaluronic Acid/Hydration|Sunscreen/SPF|Face Wash/Cleanser|Sheet Mask/Clay Mask|Vitamin C Serum|Under-eye Cream|Moisturiser/Day Cream,Natural/Ayurvedic Only,Rarely/Never,Green/Teal|Yellow/Gold,Above Rs2500,1500-2499,2000.0,Local Pharmacy,1.7,Yes-One Sub,Instagram/Reels|Friends/Family|Dermatologist/Doctor,1.8,Probably Yes - Trial First,Interested,40,97000,2.97,2.33,2.47
RESP2146,2024-06-03,36-45,Male,Jaipur,Tier-2,75K-1.2L,Undergraduate,Salaried-Private,Divorced/Separated/Widowed,Combination,Acne/Pimples|Dark Spots/Pigmentation|Dullness/Uneven Tone,Dusky/Olive,None,Yes-Multiple Times,1-2 hrs,4-7 hrs,1.9,5-6 hrs,1-2x/week,Non-Veg Occasional,3.6,2.8,3.1,2.5,2.6,2.4,Loyal Buyer,Close Friend/Family,Read but understand little,2.3,None,Ayurvedic/Herbal Products|Sunscreen/SPF|Vitamin C Serum|Niacinamide Serum|Sheet Mask/Clay Mask|Moisturiser/Day Cream|Under-eye Cream|Face Wash/Cleanser,Mix of Both,Few Times/Week,Dont Wear Ethnic,Rs301-700,1500-2499,2000.0,Brand Website D2C|Local Pharmacy,3.7,Yes-Multiple Subs,Instagram/Reels|YouTube Reviews|Friends/Family|Influencer Reco|In-store Trial,3.2,Undecided,Not Interested,40,97000,2.83,2.7,3.17
RESP2147,2024-09-09,29-35,Male,Other Tier-2,Tier-2,20K-40K,Undergraduate,Salaried-Private,Married-With Children,Combination,Acne/Pimples|Dullness/Uneven Tone|Fine Lines/Aging,Fair,None,Yes-Once or Twice,>5 hrs,1-3 hrs,4.5,7-8 hrs,Daily,Purely Vegetarian,3.1,2.9,2.2,4.4,4.5,2.3,Research-First,Close Friend/Family,Read but understand little,1.7,5-7 Products,Sunscreen/SPF|Toner/Mist|Moisturiser/Day Cream|Face Wash/Cleanser|Niacinamide Serum,Natural/Ayurvedic Only,Daily,Dont Wear Ethnic,Rs0,1000-1499,1250.0,Local Pharmacy,3.9,No-Open to It,Friends/Family|Influencer Reco,2.3,Definitely Yes,Interested,32,30000,3.2,2.83,3.57
RESP2148,2024-09-25,36-45,Male,Jaipur,Tier-2,40K-75K,Undergraduate,Homemaker,Married-With Children,Sensitive,No Concern-Maintenance,Wheatish/Medium,Thyroid Disorder|Chronic Acne (Diagnosed),No-Avoid New Products,3-5 hrs,>7 hrs,3.3,5-6 hrs,1-2x/week,Non-Veg Regular,2.1,3.9,4.4,3.3,2.6,2.2,Research-First,Close Friend/Family,Know a few key ingredients,1.3,3-4 Products,Sunscreen/SPF|Face Wash/Cleanser|Sheet Mask/Clay Mask|Hyaluronic Acid/Hydration|Moisturiser/Day Cream|Ayurvedic/Herbal Products,Mix of Both,Festivals/Occasions Only,Dont Wear Ethnic,Rs301-700,1000-1499,1250.0,Amazon/Flipkart|Brand Website D2C,4.3,Yes-One Sub,Instagram/Reels|YouTube Reviews|In-store Trial,3.1,Probably Yes - Trial First,Interested,40,57000,3.63,2.23,3.33
RESP2149,2024-10-05,36-45,Female,Delhi/Ncr,Tier-1,40K-75K,Postgraduate,Homemaker,Married-With Children,Oily,No Concern-Maintenance,Fair,Rosacea,Yes-Once or Twice,<1 hr,Rarely/Never,3.2,7-8 hrs,3-4x/week,Non-Veg Regular,4.8,1.3,3.5,3.7,4.2,4.4,Social Follower,Dermatologist/Skin Specialist,Understand most ingredients,2.4,8+ Products,Toner/Mist|Ayurvedic/Herbal Products|Moisturiser/Day Cream|Face Wash/Cleanser|Sunscreen/SPF|Niacinamide Serum,Mix of Both,Festivals/Occasions Only,Pink/Rose|Purple/Violet,Rs701-1200,1000-1499,1250.0,Amazon/Flipkart|Social Commerce,2.6,No-Open to It,Instagram/Reels|YouTube Reviews|Friends/Family,1.8,Probably Yes - Trial First,Interested,40,57000,3.0,2.93,2.87
RESP2150,2024-03-05,29-35,Male,Hyderabad,Tier-1,75K-1.2L,Postgraduate,Student,Single,Combination,Sun Damage/Tanning,Wheatish/Medium,PCOS/PCOD|Rosacea,Yes-Once or Twice,1-2 hrs,1-3 hrs,1.6,7-8 hrs,1-2x/week,Non-Veg Regular,2.6,3.5,3.5,3.0,2.7,3.1,Loyal Buyer,Close Friend/Family,Understand most ingredients,2.8,5-7 Products,Under-eye Cream|Toner/Mist|Niacinamide Serum|Sunscreen/SPF|Face Wash/Cleanser|Moisturiser/Day Cream|Vitamin C Serum,Natural/Ayurvedic Only,Few Times/Week,Dont Wear Ethnic,Rs1-300,1500-2499,2000.0,Beauty Salon/Spa,2.1,No-Open to It,Instagram/Reels|YouTube Reviews|Friends/Family|Dermatologist/Doctor|Ads (App/TV),3.9,Undecided,Not Interested,32,97000,3.23,3.13,2.9
RESP2151,2024-04-23,36-45,Female,Delhi/Ncr,Tier-1,Below 20K,Undergraduate,Salaried-Government,Single,Normal,No Concern-Maintenance,Wheatish/Medium,Chronic Acne (Diagnosed),No-Lucky So Far,<1 hr,Rarely/Never,3.4,>8 hrs,Never,Purely Vegetarian,4.0,2.6,2.2,3.4,5.0,5.0,Early Adopter,Doctor/GP,Know a few key ingredients,3.7,1-2 Products,Face Wash/Cleanser|Sunscreen/SPF|Moisturiser/Day Cream|Ayurvedic/Herbal Products,Mix of Both,Festivals/Occasions Only,Black/Charcoal|Red/Maroon|Pink/Rose,Rs301-700,300-599,450.0,Amazon/Flipkart|Brand Website D2C|Supermarket|Social Commerce,4.4,No-Open to It,YouTube Reviews|Dermatologist/Doctor|Online Search/Blogs,1.3,Probably Yes - Trial First,Interested,40,15000,3.27,2.53,3.57
RESP2152,2024-08-07,29-35,Male,Other Tier-2,Tier-2,Prefer Not to Say,Undergraduate,Salaried-Private,Single,Sensitive,No Concern-Maintenance,Very Dark,PCOS/PCOD|Rosacea,No-Lucky So Far,<1 hr,Rarely/Never,4.1,7-8 hrs,1-2x/week,Purely Vegetarian,4.0,3.6,5.0,2.4,3.5,3.0,Early Adopter,Doctor/GP,Read but understand little,3.0,8+ Products,Sheet Mask/Clay Mask|Face Wash/Cleanser|Hyaluronic Acid/Hydration|Sunscreen/SPF|Moisturiser/Day Cream,Science-backed/Clinical,Festivals/Occasions Only,Dont Wear Ethnic,Rs301-700,300-599,450.0,Brand Website D2C|Local Pharmacy,4.3,Yes-One Sub,Instagram/Reels|YouTube Reviews,2.3,Probably Yes - Trial First,Interested,32,45000,4.03,2.3,3.37
RESP2153,2024-09-02,29-35,Female,Indore,Tier-2,Above 1.2L,Undergraduate,Salaried-Private,Single,Oily,Acne/Pimples,Dusky/Olive,None,Yes-Once or Twice,3-5 hrs,1-3 hrs,4.1,<5 hrs,1-2x/week,Non-Veg Occasional,2.1,3.7,2.4,2.1,5.0,1.8,Social Follower,Close Friend/Family,Understand most ingredients,4.1,1-2 Products,Retinol/Anti-aging Serum|Toner/Mist|Vitamin C Serum|Face Wash/Cleanser|Sunscreen/SPF|Niacinamide Serum|Under-eye Cream|Moisturiser/Day Cream,Mix of Both,Rarely/Never,Orange/Saffron|Pink/Rose,Above Rs2500,1000-1499,1250.0,Nykaa/Purplle/Tira|Amazon/Flipkart|Brand Website D2C|Local Pharmacy,1.9,No-Prefer One-time,Friends/Family|Online Search/Blogs|In-store Trial,2.0,Definitely Yes,Interested,32,150000,3.7,1.63,2.97
RESP2154,2024-03-19,29-35,Female,Lucknow,Tier-2,20K-40K,Undergraduate,Homemaker,Single,Dry,No Concern-Maintenance,Dusky/Olive,None,No-Lucky So Far,1-2 hrs,1-3 hrs,3.7,7-8 hrs,Daily,Vegan,2.3,1.9,2.1,3.2,2.9,2.2,Social Follower,Dermatologist/Skin Specialist,Know a few key ingredients,3.6,5-7 Products,Moisturiser/Day Cream|Sunscreen/SPF|Hyaluronic Acid/Hydration|Night Cream/Overnight Mask|Face Wash/Cleanser,Mix of Both,Festivals/Occasions Only,Black/Charcoal,Rs301-700,600-999,800.0,Nykaa/Purplle/Tira|Local Pharmacy|Supermarket,2.5,No-Open to It,Instagram/Reels|Friends/Family|Dermatologist/Doctor|In-store Trial,3.2,Undecided,Not Interested,32,30000,2.3,3.1,2.87
RESP2155,2024-11-28,36-45,Male,Hyderabad,Tier-1,Above 1.2L,Undergraduate,Salaried-Private,Single,Combination,No Concern-Maintenance,Wheatish/Medium,Eczema/Psoriasis,Yes-Multiple Times,3-5 hrs,1-3 hrs,2.1,>8 hrs,1-2x/week,Vegetarian+Eggs,2.9,3.2,3.5,3.7,3.2,4.0,Research-First,Self Research Only,Expert - research every ingredient,3.6,1-2 Products,Retinol/Anti-aging Serum|Face Wash/Cleanser|Under-eye Cream|Niacinamide Serum|Sheet Mask/Clay Mask|Sunscreen/SPF|Collagen/Biotin Supplements|Toner/Mist,Science-backed/Clinical,Festivals/Occasions Only,Dont Wear Ethnic,Rs1201-2500,300-599,450.0,Amazon/Flipkart|Brand Website D2C|Local Pharmacy|Supermarket,3.7,Yes-One Sub,YouTube Reviews|Influencer Reco,2.5,Probably Yes - Trial First,Interested,40,150000,3.3,3.3,3.13
RESP2156,2024-03-09,18-22,Male,Delhi/Ncr,Tier-1,40K-75K,Doctoral/Professional,Freelancer/Gig,Single,Oily,Oiliness/Enlarged Pores|Dark Circles/Puffy Eyes,Dark,None,Yes-Once or Twice,1-2 hrs,>7 hrs,3.4,7-8 hrs,1-2x/week,Vegetarian+Eggs,2.4,3.5,3.0,1.4,4.6,1.9,Loyal Buyer,Self Research Only,Understand most ingredients,4.0,None,Toner/Mist|Sheet Mask/Clay Mask|Ayurvedic/Herbal Products|Face Wash/Cleanser|Sunscreen/SPF|Moisturiser/Day Cream|Niacinamide Serum,Science-backed/Clinical,Daily,Dont Wear Ethnic,Rs1201-2500,1500-2499,2000.0,Amazon/Flipkart|Brand Website D2C,2.6,No-Prefer One-time,Instagram/Reels|YouTube Reviews|Friends/Family|In-store Trial,2.8,Probably Yes - Trial First,Interested,20,57000,3.7,2.53,3.33
RESP2157,2024-08-18,36-45,Female,Indore,Tier-2,40K-75K,Postgraduate,Student,Single,Combination,Dullness/Uneven Tone,Dusky/Olive,Diabetes,Yes-Once or Twice,3-5 hrs,1-3 hrs,3.7,>8 hrs,3-4x/week,Purely Vegetarian,4.8,3.5,2.0,2.8,2.5,3.6,Research-First,Social Media Influencer,Read but understand little,1.9,5-7 Products,Face Wash/Cleanser|Toner/Mist|Sunscreen/SPF|Moisturiser/Day Cream|Niacinamide Serum|Ayurvedic/Herbal Products,No Preference,Festivals/Occasions Only,Purple/Violet|Pastels/Muted|White/Cream,Rs301-700,600-999,800.0,Amazon/Flipkart|Local Pharmacy,2.9,Yes-Multiple Subs,Instagram/Reels|Dermatologist/Doctor|Influencer Reco|In-store Trial|Ads (App/TV),2.4,Undecided,Not Interested,40,57000,2.67,3.1,2.6
RESP2158,2024-12-11,36-45,Male,Pune,Tier-2,20K-40K,Postgraduate,Self-Employed/Business,Married-With Children,Oily,Acne/Pimples,Dusky/Olive,None,Yes-Once or Twice,1-2 hrs,>7 hrs,1.5,7-8 hrs,3-4x/week,Non-Veg Occasional,3.0,3.3,5.0,4.9,3.0,2.6,Research-First,Doctor/GP,Understand most ingredients,2.6,1-2 Products,Sunscreen/SPF|Niacinamide Serum|Toner/Mist|Moisturiser/Day Cream|Sheet Mask/Clay Mask|Face Wash/Cleanser,Mix of Both,Festivals/Occasions Only,Dont Wear Ethnic,Rs301-700,Lt300,150.0,Nykaa/Purplle/Tira,1.4,No-Open to It,Friends/Family,1.8,Undecided,Not Interested,40,30000,3.77,3.5,2.07
RESP2159,2024-07-17,18-22,Female,Bengaluru,Tier-1,40K-75K,Undergraduate,Self-Employed/Business,Single,Dry,No Concern-Maintenance,Wheatish/Medium,Rosacea|Chronic Acne (Diagnosed),Yes-Multiple Times,1-2 hrs,4-7 hrs,2.1,7-8 hrs,3-4x/week,Non-Veg Occasional,4.0,2.3,3.8,3.6,4.0,2.1,Deal Seeker,Social Media Influencer,Read but understand little,5.0,1-2 Products,Sunscreen/SPF|Face Wash/Cleanser|Night Cream/Overnight Mask|Hyaluronic Acid/Hydration|Ayurvedic/Herbal Products|Moisturiser/Day Cream,Mix of Both,Festivals/Occasions Only,Red/Maroon|Purple/Violet,Rs0,600-999,800.0,Local Pharmacy,1.8,No-Open to It,Instagram/Reels|YouTube Reviews|Online Search/Blogs|Influencer Reco|Ads (App/TV),2.7,Undecided,Not Interested,20,57000,3.37,3.3,2.83
RESP2160,2024-08-14,36-45,Female,Jaipur,Tier-2,75K-1.2L,Doctoral/Professional,Salaried-Private,Married-No Children,Dry,Dryness/Flakiness|Redness/Irritation,Wheatish/Medium,Eczema/Psoriasis|Chronic Acne (Diagnosed),Yes-Once or Twice,3-5 hrs,1-3 hrs,3.9,5-6 hrs,Daily,Purely Vegetarian,3.7,2.4,2.8,4.6,2.8,4.4,Loyal Buyer,Social Media Influencer,Expert - research every ingredient,1.4,5-7 Products,Vitamin C Serum|Sunscreen/SPF|Hyaluronic Acid/Hydration|Face Wash/Cleanser|Under-eye Cream|Ayurvedic/Herbal Products|Night Cream/Overnight Mask|Moisturiser/Day Cream,Science-backed/Clinical,Rarely/Never,Red/Maroon|Pastels/Muted,Rs701-1200,2500plus,3000.0,Local Pharmacy,2.8,Yes-Multiple Subs,Instagram/Reels|Friends/Family|Influencer Reco,1.9,Undecided,Not Interested,40,97000,2.67,2.7,2.5
RESP2161,2024-05-29,18-22,Female,Mumbai,Tier-1,40K-75K,Postgraduate,Salaried-Private,Married-No Children,Combination,No Concern-Maintenance,Dusky/Olive,Diabetes,Yes-Multiple Times,<1 hr,4-7 hrs,3.9,7-8 hrs,3-4x/week,Vegetarian+Eggs,3.4,2.2,5.0,2.6,4.0,2.4,Reluctant Buyer,Doctor/GP,Never read,2.8,1-2 Products,Moisturiser/Day Cream|Sheet Mask/Clay Mask|Face Wash/Cleanser|Sunscreen/SPF|Toner/Mist|Niacinamide Serum,Science-backed/Clinical,Rarely/Never,Green/Teal,Rs1201-2500,600-999,800.0,Nykaa/Purplle/Tira|Supermarket,2.2,No-Prefer One-time,Instagram/Reels|Friends/Family|Influencer Reco|In-store Trial,1.4,Undecided,Not Interested,20,57000,3.73,2.7,2.53
